word;meaning
denghi yọ́ọ̀?;where?
déi-ịgba;fishing-line  
déin;night, day
déin-naa-ofoni;cock that crows early (about 2 a.m.), person who wakes readily at any appointed time in the night 
denghí;which  
déri;weave
 ingo dérì ;weave lobster-pot
desí; jump
Lẹ́ị dẹ̀bẹẹ timí ;Just be calm
 dẹbụlụdẹ́bụlụ;of fine-looking stature
 ̣dẹ́ị bụnụ; a woman who copulate with a boy who is far below her age
dẹ́ịịn ; intact, unimpaired,without being tampered with
dẹnghí;tire, be too much for,surpass
 dẹrí;laugh, laugh at
mịẹ́ dẹ̀rí ̣ ;ridicule
 dẹrí;laughter
  tẹ́ị mọ dẹ̀rị mọ; always with smiles 
dẹrịmọọ́ ;excite, arouse (laughter)
dibíì ;muddy, swampy
dibimọọ́ ;ause to cover up, be covered
dẹnghịmọọ́;defeat, overcome
dẹbẹẹ; quiet, calm
dẹ́ị; carry child on the hip
dẹnghịleleí;greater-than sign
dibií; be muddy, swampy
dié;fifteen
dia kịmí; ̣fifteen people
digbaa;fall into water with a heavy sound
 digilaá;bulky
digiladígila ;describes the movement of buttocks swaying
díi;fishing-net
díi koromọ ;fishing-net in one place
dií sẹ̀;the whole group
díkodìko ;groping, clumsy
díokò karị ; be reconciled
díi³;black afara, a valuable tree used for canoe carving and planks 
diinií;herb
díiye; moon 
díokò;"n. enmity;;; id. dipiyaa see dupuwaa"
 díokò kịmị ;an enemy
díokò sụọ ; be at enmity
dipilíì ; short and fat, stocky
 dirimaá ;be black
 dirima ibé ;black country, Africa
dirima kịmí ̣ ;black person
dirima-ịkpíṛìḅụịkpịbụ; medicinal herb
 diseín;sneeze
 disiín;cool, peaceful
diyaịn-díyaịn;very wide
dírigbasa;medicinal wand, rod
Dísei;personal name
diseín²; put a pad, cushion, on (head or seat), line the bottom of a box with paper or cloth  
dísìn;"tree used for canoe carving   id.  (e.g. ocean, wide mouth); spacious, large (of building) ¹ v.ben. "
dịá;show
Iné funbi nì ị dịá;Show me your book
díạ ;dry,sun
díạaìṇ ; getting up in anger as a group in order to confront someone
 dịalịí ̣; conspicuous, showy
 dịamẹíṇ ;portend something,be ominous
díḅ;be stunted 
díḍịmọ;push
dịá;sacrifice a live goat, sheep or fowl to a deity
dịamẹịnyé;omen  
dịẹ́pìṛịyé ;gift,donation, bestowal 
 Dịẹ́pìṛịyé; personal name
dịẹtịbí; lot,portion, share
dịgbịmụụ;sober, describes someone short, stocky and not speaking out
dịgịlaa ;protruding 
dịẹí;pull apart
dịẹmọ́;centre, midway, middle
dịẹyaí; lunar month in which the flood- water usually recedes (from late October to early November)  
dịgịladíg̣ịla ;describes the movement of buttocks swaying 
dịgịlaá; bulky 
dịkaa;short and fairly slim
dịna saán;urinate
ebi dịná;fertile semen
dịná èbií;have good genes
dịná sèí ;have bad genes
dịpịlíì ̣; short and full of muscles 
dodó;when, even,though
dogudogú;describes a bass voice
doón;"gazing, looking steadily, straight; undisturbed, without obstacles"
doroú ;shout
díṣẹmọ ;tantalize
dịná; semen, urine,  seed (as in Biblical use), stock , genes
díṣẹye;desire 
dọlọ́àma;a few
dọlọ́ dọlọ́ ;little by little
 dọ́ọ̀ ;be cool, calm, peaceful
dọlọ́;a little, a short distance, time
 dọ́ọ̀ beni ;cool water
dọ́ọ̀ kịmị ; calm person
Wárị sẹ̀ dọ́ọ̀ kị emi ; The house is cool
dọ́ọ̀yọ ;shady place
dọ́ọdọọ beni ;cold water 
dọọ́n;be sick, ill,hurt, grieve, anger
dọsụmẹíṇ ;pour out over,shower
dọ́sụmọ; pour out upon,anoint with
dọyọ́ọ̀ ;describes a smooth, fine and pretty looking person
dugbeé; leave the tongue outside, or between the lips 
dọ́sụ;pour (out), spill
Dọụyé²; personal name
dúdumọ;warm food on fire (yam, plantain)
dúgbirigbiri duolo;an endless problem with complicated issues
dúi; chewing-stick
dúi dụ ;chew chewing-stick 
dulukpúù;corpulent, fat and at the same time dirty
dumuú;hot and uncomfortable (of body) and starting to perspire
dúmuù ;smelling,stinking
dumoún;fishing harpoon with one or two prong
dupuwaa;with a splash
durokíì ;grow oversize
dúruu;mmense cloud of smoke in an ascending form 
duú;escape
baíṇ dùú ;escape by running
dúu; property left by a deceased person, shared after a minimum of one year, inheritance, legacy 
duun dúun; show off 
duun tụá; show off 
dúùn ; be dusty
 duwé;describes sound produced while paddling when the paddle is inserted deep into the water, causing little noise on the surface, but the pulling is hard
duún;showiness, ostentation
dúùn-yeama;dust 
dụbá; be big, fat, great
 dụbamọọ́ ;enlarge, exaggerate
dụba burú ;big yam
 dụbá dẹ̀nghí; ̣biggest, largest
 dụ̀bá ;be great in rank, position
dụ́bụdụ̀bụ;impatient
 dụdụụ́;part. each other, one another
 dụẹdụẹ́;"shabby; wretched; unattractive"
dụdụ mọ́ ;
dụgụyaí ̣;"be in opposition; butt against"
duwení;long fathom of cloth 
dụ́a; help, support 
dụdụ-mịẹ-béinyè-tụayemi-bara;cross-pollination
dụgụ́;jam, hit, butt against , clash, meet
dụí; meet someone on the way
dụ́kẹ̀ịnkẹịn dụ́kẹ̀ịn ; a slogan used by the talking drum and spectators when two rival forces meet in a duel or contest, usually in wrestling, and usually when there is a draw
dụkụyaí; clash, meet
dụlụkpụ́ụ̀; dirty (clothes, people)
dụkụ́;jam,hit, butt against
dụkụ́-ìkoso; a game played with palm nuts  
dụnịí;quarrel with
dụ́rụụ;immense cloud of smoke in an ascending form
 túo dụnụ ;weed (out) grass 
dụ́nụ; cause trouble (of deity or dead person who is angry at failure to keep promise or obligation)
dụ́nụ; argue
dụ́nụ²;weed
dụ́nụ; be convulsed
dụọ serí ;stake growing yams and coil tendrils round
dụọ soú;harvest yams 
dụrụí; come to a standstill
dụsí ̣;paddle in a hasty, competitive way (mostly of women) when going fishing far away from home
dụ́ụ; end
