word;meaning
 Erí ẹ̀kpụ́ kụ̀rọmí;He is courageous
Arí ẹ̣lẹ́dọ;I am tired
Ẹlẹlẹ kụ́rọ̀ kụ́rọ̀, ọwẹịbọọ́ dọ̀ọ́n lẹ̀í;Greetings! he who fears pretends to be sick
 Kẹnị bénì ẹlẹmẹ kpọ faá ;There is not a drop of water
Kẹnị fíỵàị ẹlẹmẹ kpọ faá ;There is not a single crumb of food
 Nọmụkịmịbí ̣ ẹ̀mbụ́rụụ kị àkị bó bọọmèé;The madman went past with a big load of shabby items
Yọ́ fìniibi ẹmẹ́nẹ maa agbobu kpọ làanimí; The width of the place is about two armspans
Áràụ́ ẹ̀ndẹ laghá bàra kị ziiyémi; She gives birth (to the next child) without attaining the normal span between deliveries
Ọrọ daụ́ fị nị, ọwọụmọọ́ sẹ̀ ẹngụ́-ẹngụ kìẹ mi;As their father has died, the children are all sorrowful
Ẹndẹ bara ghọ́ tịẹ ; There is a long interval between her children
Ẹnịọ́ mu tịẹ ;Go and stand there
Ẹrẹ-owéi, kósuowei; The spokesman is the senior man
Béì ẹtẹụ́ wàrị gha, ọ mú wèé;This is not a trap with no way out, you are free to leave 
Ẹtụ́ ụ̀ kọrịmí;He suffered from a whitlow
 Ọwọụmọọ́ fịyaịmọ ẹ̀wẹn sinmí ;The children ate up all the food without leaving a scrap
Aká àpụramọ pọ́ụbọọ̀ falafala kí ṭìmimeé ;The maize-husks were scattered at the waterside
Erí wò fuún fàmọụmị ; He lost his book
: Erí wò okóbàmọ sẹ mịẹ famọụ́ sìndọọ́;He has spent all his money
Ọ fíṛìí ̣ ̣ fàmọụdẹ́ị kị, wárị ghọ mu ;Finish the work before you go home
Áràụ́ kiribọọ̀ odúàma famụdọ́ ; She has germinated cocoyams on the farm
Famụ-ịzágbà nị ụ pịrí; ̣Give him a punishment/fine.
 Bịdẹ́ fàn kụ́mọ;Don’t wring the cloth
Bịdẹ́ fàngha kụ́mọ;Don’t wring the cloth
Fánụ tụabọ bèri ghọ fanụghá;However one fences, one does not fence the ears
Osími ụ̀ fẹịnmí;A millepede made a mark on his body
 Kósuotumọ fẹ̀ngụụ kí ạ̀ kị naá bo ni Woò saịyọbọ ẹbẹ́gụ indimọ àkịmeé; The elders came stealthily during the Woo fishing festival and took the biggest fishes
Erí fẹ̀rịfẹrị kí ẹ̣rẹ nị ị pịrịmí; ̣He whispered to me. 
Erí fẹ̀rịị kí ạ̀kị wárị dùo;He entered the house stealthily
Fẹrịị wẹnị tẹ́ị;Sneak away
Béi èrema fíe ki pìṛịyémi;This woman is practising prostitution
Ezeé fie nì ebimọmí ̣;The drum sounds well
Sísei dọ̀lọ́ fìenmọ; Please move up a bit
Ine bịdẹ́ fìinghá ; My cloth does not fade
 Erí ègberí gbà finidọọ́ ;He has revealed the news
Ọmịní ọ̣rọ sẹí f̣ìnimi ; They performed their dance publicly
Ebimịẹ́ wò warí f̣ìnidọ́;Ebimịẹ has opened his (new) house
 Wárịbọọ̀ finiídọ;The door has opened
Wárịbọọbì ṇị u finimọ́;Open the door to him
Bịdẹmọọ́ fìnimọ;Spread out the clothes
Ine arụ́ fìriyemí ;My canoe is leaking
 Ará ịnọụn fìrimí;Her sore bled
Bíẹ̣nbị ìṇọọ́ fìyoú fàdọọ́;My feeling that I want to defecate has subsided 
 Fị kosú fà ;Death knows no seniority
Fịmọọ́ sẹ̀ kẹ́nị fị;All kinds of death are death
Fị serí sèri kụ́mọ;Don’t go with death
 Fị tịbịbí ị̀neín ;";Let the death fall on me"
Erí ọ̀gọneibọ́ọ̀ síya ọndẹ nàịra kị fịyémi;He is earning N8,000 a month
